start training greencrab
Start training for LSTM_PPO
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Logging to /home/rstudio/logs/RecurrentPPO_6
---------------------------------
| rollout/           |          |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -1.67       |
| time/                   |             |
|    fps                  | 7           |
|    iterations           | 463         |
|    time_elapsed         | 7549        |
|    total_timesteps      | 59264       |
| train/                  |             |
|    approx_kl            | 0.017997283 |
|    clip_fraction        | 0.126       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.95       |
|    explained_variance   | 0.00591     |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0171      |
|    n_updates            | 4620        |
|    policy_gradient_loss | -0.0062     |
|    std                  | 0.679       |
|    value_loss           | 0.0605      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -1.66       |
| time/                   |             |
|    fps                  | 7           |
|    iterations           | 464         |
|    time_elapsed         | 7561        |
|    total_timesteps      | 59392       |
| train/                  |             |
|    approx_kl            | 0.015592137 |
|    clip_fraction        | 0.0883      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.95       |
|    explained_variance   | 0.00128     |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0429      |
|    n_updates            | 4630        |
|    policy_gradient_loss | -0.0122     |
|    std                  | 0.678       |
|    value_loss           | 0.125       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -1.67       |
| time/                   |             |
|    fps                  | 7           |
|    iterations           | 465         |
|    time_elapsed         | 7576        |
|    total_timesteps      | 59520       |
| train/                  |             |
|    approx_kl            | 0.020927627 |
|    clip_fraction        | 0.215       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.95       |
|    explained_variance   | 0.0161      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.000376   |
|    n_updates            | 4640        |
|    policy_gradient_loss | -0.0108     |
|    std                  | 0.679       |
|    value_loss           | 0.0329      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -1.68       |
| time/                   |             |
|    fps                  | 7           |
|    iterations           | 466         |
|    time_elapsed         | 7592        |
|    total_timesteps      | 59648       |
| train/                  |             |
|    approx_kl            | 0.028062005 |
|    clip_fraction        | 0.204       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.95       |
|    explained_variance   | -0.000446   |
|    learning_rate        | 0.0003      |
|    loss                 | 0.271       |
|    n_updates            | 4650        |
|    policy_gradient_loss | -0.00882    |
|    std                  | 0.679       |
|    value_loss           | 0.574       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -1.67       |
| time/                   |             |
|    fps                  | 7           |
|    iterations           | 467         |
|    time_elapsed         | 7604        |
|    total_timesteps      | 59776       |
| train/                  |             |
|    approx_kl            | 0.011531016 |
|    clip_fraction        | 0.0563      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.95       |
|    explained_variance   | -0.00295    |
|    learning_rate        | 0.0003      |
|    loss                 | 0.128       |
|    n_updates            | 4660        |
|    policy_gradient_loss | -0.0106     |
|    std                  | 0.68        |
|    value_loss           | 0.32        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -1.58       |
| time/                   |             |
|    fps                  | 7           |
|    iterations           | 468         |
|    time_elapsed         | 7617        |
|    total_timesteps      | 59904       |
| train/                  |             |
|    approx_kl            | 0.029037906 |
|    clip_fraction        | 0.148       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.95       |
|    explained_variance   | 0.00766     |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0117      |
|    n_updates            | 4670        |
|    policy_gradient_loss | -0.0115     |
|    std                  | 0.68        |
|    value_loss           | 0.0577      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -1.57       |
| time/                   |             |
|    fps                  | 7           |
|    iterations           | 469         |
|    time_elapsed         | 7633        |
|    total_timesteps      | 60032       |
| train/                  |             |
|    approx_kl            | 0.006196545 |
|    clip_fraction        | 0.0125      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.95       |
|    explained_variance   | 0.0247      |
|    learning_rate        | 0.0003      |
|    loss                 | 0.016       |
|    n_updates            | 4680        |
|    policy_gradient_loss | -0.000966   |
|    std                  | 0.68        |
|    value_loss           | 0.0562      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -1.56       |
| time/                   |             |
|    fps                  | 7           |
|    iterations           | 470         |
|    time_elapsed         | 7648        |
|    total_timesteps      | 60160       |
| train/                  |             |
|    approx_kl            | 0.019417059 |
|    clip_fraction        | 0.0906      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.95       |
|    explained_variance   | -0.00317    |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0143      |
|    n_updates            | 4690        |
|    policy_gradient_loss | -0.0166     |
|    std                  | 0.679       |
|    value_loss           | 0.0775      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -1.55       |
| time/                   |             |
|    fps                  | 7           |
|    iterations           | 471         |
|    time_elapsed         | 7662        |
|    total_timesteps      | 60288       |
| train/                  |             |
|    approx_kl            | 0.012617752 |
|    clip_fraction        | 0.0664      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.94       |
|    explained_variance   | -0.00125    |
|    learning_rate        | 0.0003      |
|    loss                 | -0.000584   |
|    n_updates            | 4700        |
|    policy_gradient_loss | -0.00955    |
|    std                  | 0.678       |
|    value_loss           | 0.0421      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -1.54       |
| time/                   |             |
|    fps                  | 7           |
|    iterations           | 472         |
|    time_elapsed         | 7673        |
|    total_timesteps      | 60416       |
| train/                  |             |
|    approx_kl            | 0.008358744 |
|    clip_fraction        | 0.157       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.94       |
|    explained_variance   | 0.00937     |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0215      |
|    n_updates            | 4710        |
|    policy_gradient_loss | 0.00276     |
|    std                  | 0.677       |
|    value_loss           | 0.0422      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -1.51       |
| time/                   |             |
|    fps                  | 7           |
|    iterations           | 473         |
|    time_elapsed         | 7686        |
|    total_timesteps      | 60544       |
| train/                  |             |
|    approx_kl            | 0.022471922 |
|    clip_fraction        | 0.202       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.94       |
|    explained_variance   | 0.0056      |
|    learning_rate        | 0.0003      |
|    loss                 | 0.181       |
|    n_updates            | 4720        |
|    policy_gradient_loss | -0.00658    |
|    std                  | 0.677       |
|    value_loss           | 0.387       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -1.51       |
| time/                   |             |
|    fps                  | 7           |
|    iterations           | 474         |
|    time_elapsed         | 7697        |
|    total_timesteps      | 60672       |
| train/                  |             |
|    approx_kl            | 0.024227817 |
|    clip_fraction        | 0.181       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.94       |
|    explained_variance   | 0.026       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00158    |
|    n_updates            | 4730        |
|    policy_gradient_loss | -0.012      |
|    std                  | 0.678       |
|    value_loss           | 0.0305      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -1.51       |
| time/                   |             |
|    fps                  | 7           |
|    iterations           | 475         |
|    time_elapsed         | 7708        |
|    total_timesteps      | 60800       |
| train/                  |             |
|    approx_kl            | 0.008689573 |
|    clip_fraction        | 0.0344      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.93       |
|    explained_variance   | 0.0331      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00322    |
|    n_updates            | 4740        |
|    policy_gradient_loss | -0.00424    |
|    std                  | 0.677       |
|    value_loss           | 0.0184      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -1.51       |
| time/                   |             |
|    fps                  | 7           |
|    iterations           | 476         |
|    time_elapsed         | 7720        |
|    total_timesteps      | 60928       |
| train/                  |             |
|    approx_kl            | 0.029901236 |
|    clip_fraction        | 0.216       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.93       |
|    explained_variance   | -0.0564     |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00717    |
|    n_updates            | 4750        |
|    policy_gradient_loss | -0.00862    |
|    std                  | 0.678       |
|    value_loss           | 0.013       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 101        |
|    ep_rew_mean          | -1.49      |
| time/                   |            |
|    fps                  | 7          |
|    iterations           | 477        |
|    time_elapsed         | 7734       |
|    total_timesteps      | 61056      |
| train/                  |            |
|    approx_kl            | 0.02196125 |
|    clip_fraction        | 0.119      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.94      |
|    explained_variance   | -0.0198    |
|    learning_rate        | 0.0003     |
|    loss                 | 0.00431    |
|    n_updates            | 4760       |
|    policy_gradient_loss | -0.00343   |
|    std                  | 0.68       |
|    value_loss           | 0.0188     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -1.5        |
| time/                   |             |
|    fps                  | 7           |
|    iterations           | 478         |
|    time_elapsed         | 7751        |
|    total_timesteps      | 61184       |
| train/                  |             |
|    approx_kl            | 0.017552981 |
|    clip_fraction        | 0.188       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.94       |
|    explained_variance   | 0.0229      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0145     |
|    n_updates            | 4770        |
|    policy_gradient_loss | -0.0146     |
|    std                  | 0.681       |
|    value_loss           | 0.00978     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -1.44       |
| time/                   |             |
|    fps                  | 7           |
|    iterations           | 479         |
|    time_elapsed         | 7761        |
|    total_timesteps      | 61312       |
| train/                  |             |
|    approx_kl            | 0.021663643 |
|    clip_fraction        | 0.105       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.94       |
|    explained_variance   | -0.00997    |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0112      |
|    n_updates            | 4780        |
|    policy_gradient_loss | -0.0104     |
|    std                  | 0.68        |
|    value_loss           | 0.0603      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -1.42        |
| time/                   |              |
|    fps                  | 7            |
|    iterations           | 480          |
|    time_elapsed         | 7774         |
|    total_timesteps      | 61440        |
| train/                  |              |
|    approx_kl            | 0.0089663165 |
|    clip_fraction        | 0.0672       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.94        |
|    explained_variance   | 0.0602       |
|    learning_rate        | 0.0003       |
|    loss                 | -0.00241     |
|    n_updates            | 4790         |
|    policy_gradient_loss | -0.00244     |
|    std                  | 0.678        |
|    value_loss           | 0.0128       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -1.42        |
| time/                   |              |
|    fps                  | 7            |
|    iterations           | 481          |
|    time_elapsed         | 7783         |
|    total_timesteps      | 61568        |
| train/                  |              |
|    approx_kl            | 0.0081568025 |
|    clip_fraction        | 0.122        |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.93        |
|    explained_variance   | -0.0376      |
|    learning_rate        | 0.0003       |
|    loss                 | -0.00409     |
|    n_updates            | 4800         |
|    policy_gradient_loss | -0.00372     |
|    std                  | 0.677        |
|    value_loss           | 0.0039       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -1.42       |
| time/                   |             |
|    fps                  | 7           |
|    iterations           | 482         |
|    time_elapsed         | 7793        |
|    total_timesteps      | 61696       |
| train/                  |             |
|    approx_kl            | 0.045352854 |
|    clip_fraction        | 0.178       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.93       |
|    explained_variance   | -0.0707     |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0209     |
|    n_updates            | 4810        |
|    policy_gradient_loss | -0.0139     |
|    std                  | 0.675       |
|    value_loss           | 0.00266     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 101        |
|    ep_rew_mean          | -1.38      |
| time/                   |            |
|    fps                  | 7          |
|    iterations           | 483        |
|    time_elapsed         | 7803       |
|    total_timesteps      | 61824      |
| train/                  |            |
|    approx_kl            | 0.01576315 |
|    clip_fraction        | 0.0656     |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.92      |
|    explained_variance   | -0.0314    |
|    learning_rate        | 0.0003     |
|    loss                 | -0.00886   |
|    n_updates            | 4820       |
|    policy_gradient_loss | -0.00645   |
|    std                  | 0.674      |
|    value_loss           | 0.00554    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -1.37       |
| time/                   |             |
|    fps                  | 7           |
|    iterations           | 484         |
|    time_elapsed         | 7820        |
|    total_timesteps      | 61952       |
| train/                  |             |
|    approx_kl            | 0.010407485 |
|    clip_fraction        | 0.0328      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.92       |
|    explained_variance   | -0.0129     |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0208      |
|    n_updates            | 4830        |
|    policy_gradient_loss | -0.00626    |
|    std                  | 0.674       |
|    value_loss           | 0.0712      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -1.36       |
| time/                   |             |
|    fps                  | 7           |
|    iterations           | 485         |
|    time_elapsed         | 7832        |
|    total_timesteps      | 62080       |
| train/                  |             |
|    approx_kl            | 0.014818944 |
|    clip_fraction        | 0.0742      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.92       |
|    explained_variance   | 0.0397      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00484    |
|    n_updates            | 4840        |
|    policy_gradient_loss | -0.00462    |
|    std                  | 0.673       |
|    value_loss           | 0.00937     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -1.33       |
| time/                   |             |
|    fps                  | 7           |
|    iterations           | 486         |
|    time_elapsed         | 7841        |
|    total_timesteps      | 62208       |
| train/                  |             |
|    approx_kl            | 0.012176013 |
|    clip_fraction        | 0.0805      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.92       |
|    explained_variance   | 0.044       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.000818   |
|    n_updates            | 4850        |
|    policy_gradient_loss | -0.00279    |
|    std                  | 0.674       |
|    value_loss           | 0.00837     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -1.31       |
| time/                   |             |
|    fps                  | 7           |
|    iterations           | 487         |
|    time_elapsed         | 7853        |
|    total_timesteps      | 62336       |
| train/                  |             |
|    approx_kl            | 0.010459429 |
|    clip_fraction        | 0.143       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.92       |
|    explained_variance   | 0.0265      |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00392     |
|    n_updates            | 4860        |
|    policy_gradient_loss | -0.00783    |
|    std                  | 0.673       |
|    value_loss           | 0.036       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 101        |
|    ep_rew_mean          | -1.31      |
| time/                   |            |
|    fps                  | 7          |
|    iterations           | 488        |
|    time_elapsed         | 7866       |
|    total_timesteps      | 62464      |
| train/                  |            |
|    approx_kl            | 0.00837634 |
|    clip_fraction        | 0.0578     |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.91      |
|    explained_variance   | 0.0917     |
|    learning_rate        | 0.0003     |
|    loss                 | -0.00993   |
|    n_updates            | 4870       |
|    policy_gradient_loss | -0.00557   |
|    std                  | 0.674      |
|    value_loss           | 0.0125     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 101        |
|    ep_rew_mean          | -1.34      |
| time/                   |            |
|    fps                  | 7          |
|    iterations           | 489        |
|    time_elapsed         | 7877       |
|    total_timesteps      | 62592      |
| train/                  |            |
|    approx_kl            | 0.01892091 |
|    clip_fraction        | 0.114      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.91      |
|    explained_variance   | 0.0131     |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0612     |
|    n_updates            | 4880       |
|    policy_gradient_loss | -0.00744   |
|    std                  | 0.674      |
|    value_loss           | 0.155      |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -1.29        |
| time/                   |              |
|    fps                  | 7            |
|    iterations           | 490          |
|    time_elapsed         | 7890         |
|    total_timesteps      | 62720        |
| train/                  |              |
|    approx_kl            | 0.0064775962 |
|    clip_fraction        | 0.0766       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.91        |
|    explained_variance   | 1.54e-05     |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0191       |
|    n_updates            | 4890         |
|    policy_gradient_loss | -0.00541     |
|    std                  | 0.674        |
|    value_loss           | 0.0581       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -1.25       |
| time/                   |             |
|    fps                  | 7           |
|    iterations           | 491         |
|    time_elapsed         | 7908        |
|    total_timesteps      | 62848       |
| train/                  |             |
|    approx_kl            | 0.011719625 |
|    clip_fraction        | 0.0453      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.91       |
|    explained_variance   | 0.0174      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0103     |
|    n_updates            | 4900        |
|    policy_gradient_loss | -0.00822    |
|    std                  | 0.674       |
|    value_loss           | 0.0208      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 101        |
|    ep_rew_mean          | -1.24      |
| time/                   |            |
|    fps                  | 7          |
|    iterations           | 492        |
|    time_elapsed         | 7922       |
|    total_timesteps      | 62976      |
| train/                  |            |
|    approx_kl            | 0.01855691 |
|    clip_fraction        | 0.0672     |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.91      |
|    explained_variance   | 0.0533     |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0101    |
|    n_updates            | 4910       |
|    policy_gradient_loss | -0.00617   |
|    std                  | 0.673      |
|    value_loss           | 0.0151     |
----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 101       |
|    ep_rew_mean          | -1.24     |
| time/                   |           |
|    fps                  | 7         |
|    iterations           | 493       |
|    time_elapsed         | 7930      |
|    total_timesteps      | 63104     |
| train/                  |           |
|    approx_kl            | 0.0371219 |
|    clip_fraction        | 0.226     |
|    clip_range           | 0.2       |
|    entropy_loss         | -2.91     |
|    explained_variance   | 0.0796    |
|    learning_rate        | 0.0003    |
|    loss                 | -0.0162   |
|    n_updates            | 4920      |
|    policy_gradient_loss | -0.0142   |
|    std                  | 0.674     |
|    value_loss           | 0.0077    |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -1.22       |
| time/                   |             |
|    fps                  | 7           |
|    iterations           | 494         |
|    time_elapsed         | 7939        |
|    total_timesteps      | 63232       |
| train/                  |             |
|    approx_kl            | 0.020492742 |
|    clip_fraction        | 0.12        |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.91       |
|    explained_variance   | -0.00598    |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00314    |
|    n_updates            | 4930        |
|    policy_gradient_loss | -0.00622    |
|    std                  | 0.676       |
|    value_loss           | 0.00799     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -1.22       |
| time/                   |             |
|    fps                  | 7           |
|    iterations           | 495         |
|    time_elapsed         | 7959        |
|    total_timesteps      | 63360       |
| train/                  |             |
|    approx_kl            | 0.017844371 |
|    clip_fraction        | 0.108       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.92       |
|    explained_variance   | 0.108       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00286     |
|    n_updates            | 4940        |
|    policy_gradient_loss | -0.00133    |
|    std                  | 0.677       |
|    value_loss           | 0.00651     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -1.21       |
| time/                   |             |
|    fps                  | 7           |
|    iterations           | 496         |
|    time_elapsed         | 7972        |
|    total_timesteps      | 63488       |
| train/                  |             |
|    approx_kl            | 0.020825274 |
|    clip_fraction        | 0.111       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.92       |
|    explained_variance   | 0.0507      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0325     |
|    n_updates            | 4950        |
|    policy_gradient_loss | -0.0198     |
|    std                  | 0.678       |
|    value_loss           | 0.00413     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -1.16       |
| time/                   |             |
|    fps                  | 7           |
|    iterations           | 497         |
|    time_elapsed         | 7983        |
|    total_timesteps      | 63616       |
| train/                  |             |
|    approx_kl            | 0.012559688 |
|    clip_fraction        | 0.075       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.92       |
|    explained_variance   | -0.0415     |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00141     |
|    n_updates            | 4960        |
|    policy_gradient_loss | 0.000243    |
|    std                  | 0.677       |
|    value_loss           | 0.0156      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 101        |
|    ep_rew_mean          | -1.17      |
| time/                   |            |
|    fps                  | 7          |
|    iterations           | 498        |
|    time_elapsed         | 7994       |
|    total_timesteps      | 63744      |
| train/                  |            |
|    approx_kl            | 0.02418904 |
|    clip_fraction        | 0.134      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.92      |
|    explained_variance   | 0.00565    |
|    learning_rate        | 0.0003     |
|    loss                 | 0.000499   |
|    n_updates            | 4970       |
|    policy_gradient_loss | -0.00416   |
|    std                  | 0.677      |
|    value_loss           | 0.0132     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 101        |
|    ep_rew_mean          | -1.17      |
| time/                   |            |
|    fps                  | 7          |
|    iterations           | 499        |
|    time_elapsed         | 8007       |
|    total_timesteps      | 63872      |
| train/                  |            |
|    approx_kl            | 0.03074614 |
|    clip_fraction        | 0.213      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.91      |
|    explained_variance   | 0.0177     |
|    learning_rate        | 0.0003     |
|    loss                 | -0.006     |
|    n_updates            | 4980       |
|    policy_gradient_loss | -0.011     |
|    std                  | 0.677      |
|    value_loss           | 0.0199     |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -1.19        |
| time/                   |              |
|    fps                  | 7            |
|    iterations           | 500          |
|    time_elapsed         | 8018         |
|    total_timesteps      | 64000        |
| train/                  |              |
|    approx_kl            | 0.0070389914 |
|    clip_fraction        | 0.0133       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.92        |
|    explained_variance   | 0.0709       |
|    learning_rate        | 0.0003       |
|    loss                 | -0.00903     |
|    n_updates            | 4990         |
|    policy_gradient_loss | -0.00424     |
|    std                  | 0.677        |
|    value_loss           | 0.00806      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -1.19       |
| time/                   |             |
|    fps                  | 7           |
|    iterations           | 501         |
|    time_elapsed         | 8026        |
|    total_timesteps      | 64128       |
| train/                  |             |
|    approx_kl            | 0.021949686 |
|    clip_fraction        | 0.163       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.92       |
|    explained_variance   | -0.000849   |
|    learning_rate        | 0.0003      |
|    loss                 | 0.337       |
|    n_updates            | 5000        |
|    policy_gradient_loss | -0.0142     |
|    std                  | 0.678       |
|    value_loss           | 0.724       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -1.16       |
| time/                   |             |
|    fps                  | 7           |
|    iterations           | 502         |
|    time_elapsed         | 8034        |
|    total_timesteps      | 64256       |
| train/                  |             |
|    approx_kl            | 0.019453926 |
|    clip_fraction        | 0.166       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.92       |
|    explained_variance   | 0.0338      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00464    |
|    n_updates            | 5010        |
|    policy_gradient_loss | -0.0101     |
|    std                  | 0.678       |
|    value_loss           | 0.0175      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 101        |
|    ep_rew_mean          | -1.17      |
| time/                   |            |
|    fps                  | 8          |
|    iterations           | 503        |
|    time_elapsed         | 8044       |
|    total_timesteps      | 64384      |
| train/                  |            |
|    approx_kl            | 0.02319246 |
|    clip_fraction        | 0.204      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.92      |
|    explained_variance   | 0.0458     |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0081    |
|    n_updates            | 5020       |
|    policy_gradient_loss | -0.00919   |
|    std                  | 0.678      |
|    value_loss           | 0.0141     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -1.17       |
| time/                   |             |
|    fps                  | 8           |
|    iterations           | 504         |
|    time_elapsed         | 8056        |
|    total_timesteps      | 64512       |
| train/                  |             |
|    approx_kl            | 0.022604076 |
|    clip_fraction        | 0.106       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.92       |
|    explained_variance   | 0.00843     |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00441     |
|    n_updates            | 5030        |
|    policy_gradient_loss | -0.00295    |
|    std                  | 0.678       |
|    value_loss           | 0.0114      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -1.12       |
| time/                   |             |
|    fps                  | 8           |
|    iterations           | 505         |
|    time_elapsed         | 8066        |
|    total_timesteps      | 64640       |
| train/                  |             |
|    approx_kl            | 0.029891498 |
|    clip_fraction        | 0.204       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.92       |
|    explained_variance   | 0.056       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00142    |
|    n_updates            | 5040        |
|    policy_gradient_loss | -0.0131     |
|    std                  | 0.678       |
|    value_loss           | 0.0281      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -1.12        |
| time/                   |              |
|    fps                  | 8            |
|    iterations           | 506          |
|    time_elapsed         | 8079         |
|    total_timesteps      | 64768        |
| train/                  |              |
|    approx_kl            | 0.0116119785 |
|    clip_fraction        | 0.0719       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.92        |
|    explained_variance   | 0.0735       |
|    learning_rate        | 0.0003       |
|    loss                 | -0.00689     |
|    n_updates            | 5050         |
|    policy_gradient_loss | -0.00677     |
|    std                  | 0.677        |
|    value_loss           | 0.00886      |
------------------------------------------
